N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"84,600",200,+0.24%,100,"5,050,436","5,969,783",55.02,"19,961,566",23.10,8.69,
2,SK하이닉스,"130,000",0,0.00%,"5,000","946,403","728,002",49.94,"3,481,720",32.98,4.25,
3,LG화학,"999,000","34,000",+3.52%,"5,000","705,218","70,592",43.25,"684,408",93.34,1.84,
4,삼성전자우,"74,200",300,-0.40%,100,"610,582","822,887",79.33,"2,176,887",20.26,N/A,
5,NAVER,"370,500","8,000",+2.21%,100,"608,596","164,263",57.05,"1,144,524",73.76,10.56,
6,삼성바이오로직스,"825,000","1,000",-0.12%,"2,500","545,861","66,165",10.35,"108,178",153.60,4.77,
7,현대차,"245,500","5,000",+2.08%,"5,000","524,555","213,668",31.01,"2,914,737",58.66,4.32,
8,삼성SDI,"758,000","6,000",+0.80%,"5,000","521,235","68,765",44.18,"325,559",258.61,2.94,
9,셀트리온,"347,500","8,000",-2.25%,"1,000","469,117","134,998",21.47,"1,847,063",93.92,11.19,
10,카카오,"462,000","16,500",+3.70%,500,"409,151","88,561",33.55,"730,146",-512.76,-5.81,
11,기아차,"97,700","8,600",+9.65%,"5,000","396,040","405,363",34.83,"31,087,354",45.40,6.50,
12,현대모비스,"347,500","13,000",+3.89%,"5,000","330,315","95,055",41.01,"1,463,082",21.19,7.28,
13,SK이노베이션,"316,000","1,500",-0.47%,"5,000","292,191","92,466",23.43,"1,675,716",-12.02,-0.20,
14,LG전자,"165,000","7,000",+4.43%,"5,000","270,019","163,648",33.06,"3,122,454",35.84,0.22,
15,삼성물산,"136,500","4,500",+3.41%,100,"255,101","186,887",14.68,"991,187",22.87,4.77,
16,LG생활건강,"1,632,000","33,000",+2.06%,"5,000","254,889","15,618",45.86,"42,956",36.56,20.32,
17,SK,"326,500","1,000",+0.31%,200,"229,726","70,360",21.47,"383,385","1,377.64",4.31,
18,POSCO,"262,500",500,-0.19%,"5,000","228,865","87,187",51.11,"352,999",24.05,4.18,
19,엔씨소프트,"1,008,000","24,000",+2.44%,500,"221,297","21,954",50.05,"190,212",39.44,14.72,
20,SK텔레콤,"245,000",0,0.00%,500,"197,827","80,746",35.03,"413,809",18.04,3.92,
21,LG,"103,500","1,000",+0.98%,"5,000","178,597","172,557",34.79,"400,643",14.63,5.87,
22,KB금융,"41,950",100,+0.24%,"5,000","174,431","415,808",66.27,"2,110,291",5.12,8.92,
23,신한지주,"31,900",50,-0.16%,"5,000","164,795","516,600",58.39,"2,016,354",4.57,9.09,
24,삼성전기,"209,500",500,+0.24%,"5,000","156,483","74,694",35.22,"571,423",42.92,10.18,
25,삼성에스디에스,"195,500","1,500",+0.77%,500,"151,274","77,378",11.69,"228,122",28.86,11.76,
26,한국전력,"23,400",0,0.00%,"5,000","150,220","641,964",17.07,"2,726,828",162.50,-3.42,
27,삼성생명,"72,000",900,-1.23%,500,"144,000","200,000",12.37,"461,557",14.46,3.26,
28,아모레퍼시픽,"227,500","2,500",-1.09%,500,"132,993","58,458",32.84,"204,053",365.76,5.36,
29,넷마블,"145,500","3,000",+2.11%,100,"124,952","85,878",24.17,"826,339",58.93,3.54,
30,SK바이오팜,"149,500",0,0.00%,500,"117,078","78,313",4.71,"198,912",-135.91,-313.66,
31,KT&G,"79,900",100,-0.12%,"5,000","109,697","137,292",40.44,"506,519",11.15,12.39,
32,포스코케미칼,"140,000","5,000",+3.70%,500,"108,448","77,463",7.56,"727,381",314.61,11.57,
33,하나금융지주,"34,800",50,-0.14%,"5,000","104,484","300,242",67.23,"1,676,372",4.26,8.77,
34,한온시스템,"18,850",950,+5.31%,100,"100,621","533,800",20.02,"2,581,310",71.67,14.98,
35,롯데케미칼,"277,500","2,500",+0.91%,"5,000","95,114","34,275",26.11,"196,388",82.03,5.51,
36,한화솔루션,"51,900",200,-0.38%,"5,000","82,970","159,864",18.95,"1,225,802",-95.23,-4.02,
37,빅히트,"232,500",0,0.00%,500,"82,825","35,624",9.05,"542,244",N/A,56.47,
38,LG디스플레이,"22,750",50,-0.22%,"5,000","81,403","357,816",24.02,"3,077,941",-3.31,-22.35,
39,S-Oil,"71,700",200,-0.28%,"2,500","80,722","112,583",76.07,"409,693",-9.61,1.01,
40,삼성화재,"170,000",500,-0.29%,500,"80,537","47,375",44.35,"135,051",12.43,4.85,
41,현대글로비스,"212,500","11,000",+5.46%,500,"79,688","37,500",35.10,"1,291,820",11.94,11.25,
42,고려아연,"420,500","6,500",-1.52%,"5,000","79,348","18,870",23.08,"80,350",14.17,9.76,
43,금호석유,"247,500","3,000",-1.20%,"5,000","75,408","30,468",28.55,"603,394",21.18,11.84,
44,한국조선해양,"98,900",100,-0.10%,"5,000","69,995","70,773",16.48,"295,271",327.48,1.40,
45,CJ제일제당,"445,500","1,500",+0.34%,"5,000","67,066","15,054",24.69,"59,872",9.25,3.16,
46,우리금융지주,"9,100",80,+0.89%,"5,000","65,726","722,268",25.05,"1,813,662",4.88,N/A,
47,미래에셋대우,"9,870",10,-0.10%,"5,000","63,693","645,316",14.88,"2,676,654",10.31,7.56,
48,KT,"24,300",50,+0.21%,"5,000","63,450","261,112",43.89,"1,206,738",10.35,4.61,
49,KODEX 200,"43,130",355,+0.83%,0,"62,625","145,200",7.04,"8,521,906",N/A,N/A,
50,기업은행,"8,240",50,+0.61%,"5,000","60,866","738,664",10.42,"1,581,314",4.21,7.36,
